quote,movie,type,year,clean_quote,clean_quote_light,clean_quote_strict
"Do not go gentle into that good night. Rage, rage against the dying of the light.",Interstellar,movie,2014,do not go gentle into that good night rage rage against the dying of the light,do not go gentle into that good night rage rage against the dying of the light,go gentle good night rage rage die light
"You don't get to choose if you get hurt in this world,but you do have a say in who hearts you",Fault in our stars,movie,2014,you dont get to choose if you get hurt in this worldbut you do have a say in who hearts you,you don t get to choose if you get hurt in this world but you do have a say in who hearts you,get choose get hurt world say heart
"We used to look up at the sky and wonder at our place in the stars, now we just look down and worry about our place in the dirt.",Interstellar,movie,2014,we used to look up at the sky and wonder at our place in the stars now we just look down and worry about our place in the dirt,we used to look up at the sky and wonder at our place in the stars now we just look down and worry about our place in the dirt,use look sky wonder place star look worry place dirt
"The price of freedom is high, and it's the price I am willing to pay",Captain America: The Winter Soldier,movie,2014,the price of freedom is high and its the price i am willing to pay,the price of freedom is high and it s the price i am willing to pay,price freedom high price willing pay
I'm not going to launch those ships. Captain's orders.,Captain America: The Winter Soldier,movie,2014,im not going to launch those ships captains orders,i m not going to launch those ships captain s orders,go launch ship captain order
Ideals are peaceful; history is violent.,Fury,war,2014,ideals are peaceful history is violent,ideals are peaceful history is violent,ideal peaceful history violent
Dress like a kingsman.,KINGSMAN: The Secret Service,movie,2014,dress like a kingsman,dress like a kingsman,dress like kingsman
"Nobody exists on purpose, nobody belongs anywhere, everybody's gonna die. Come watch TV?",Rick and Morty,tv,2014,nobody exists on purpose nobody belongs anywhere everybodys gonna die come watch tv,nobody exists on purpose nobody belongs anywhere everybody s gonna die come watch tv,nobody exist purpose nobody belongs anywhere everybody gon na die come watch tv
Wubba lubba dub dub!,Rick and Morty,tv,2014,wubba lubba dub dub,wubba lubba dub dub,wubba lubba dub dub
"Having a family doesn’t mean that you stop being an individual. You know the best thing you can do for the people that depend on you? Be honest with them, even if it means setting them free.",Rick and Morty,tv,2014,having a family doesn’t mean that you stop being an individual you know the best thing you can do for the people that depend on you be honest with them even if it means setting them free,having a family doesn t mean that you stop being an individual you know the best thing you can do for the people that depend on you be honest with them even if it means setting them free,family mean stop individual know best thing people depend honest even mean set free
There are no two words in the English language more harmful than good job,Whiplash,movie,2014,there are no two words in the english language more harmful than good job,there are no two words in the english language more harmful than good job,two word english language harmful good job
"Machines can never think as humans do but just because something thinks differently from you, does it mean it's not thinking?",The Imitation Game,movie,2014,machines can never think as humans do but just because something thinks differently from you does it mean its not thinking,machines can never think as humans do but just because something thinks differently from you does it mean it s not thinking,machine never think human something think differently mean thinking
Pain demands to be felt,Fault in our stars,movie,2014,pain demands to be felt,pain demands to be felt,pain demand felt
I know it's not ordinary. But who ever loved ordinary?,The Imitation Game,movie,2014,i know its not ordinary but who ever loved ordinary,i know it s not ordinary but who ever loved ordinary,know ordinary ever love ordinary
Were you rushing or were you dragging?,Whiplash,movie,2014,were you rushing or were you dragging,were you rushing or were you dragging,rush drag
No system is safe.,Who Am I,movie,2014,no system is safe,no system is safe,system safe
"Everyone’s a whore, Grace. We just sell different parts of ourselves.",Peaky Blinders,tv,2014,everyone’s a whore grace we just sell different parts of ourselves,everyone s a whore grace we just sell different parts of ourselves,everyone whore grace sell different part
"We are all different. However bad life may seem, there is always something you can do, and succeed at. While there's life, there is hope.",The Theory of Everything,movie,2014,we are all different however bad life may seem there is always something you can do and succeed at while theres life there is hope,we are all different however bad life may seem there is always something you can do and succeed at while there s life there is hope,different however bad life may seem always something succeed life hope
Come find me when you wake up!,Edge Of Tomorrow,movie,2014,come find me when you wake up,come find me when you wake up,come find wake
"You never would have come here unless you believed you were going to save them. Evolution has yet to transcend that simple barrier. We can care deeply - selflessly - about those we know, but that empathy rarely extends beyond our line of sight.",Interstellar,movie,2014,you never would have come here unless you believed you were going to save them evolution has yet to transcend that simple barrier we can care deeply selflessly about those we know but that empathy rarely extends beyond our line of sight,you never would have come here unless you believed you were going to save them evolution has yet to transcend that simple barrier we can care deeply selflessly about those we know but that empathy rarely extends beyond our line of sight,never would come unless believe go save evolution yet transcend simple barrier care deeply selflessly know empathy rarely extend beyond line sight
"This world’s a treasure, but it’s been telling us to leave for a while now.",Interstellar,movie,2014,this world’s a treasure but it’s been telling us to leave for a while now,this world s a treasure but it s been telling us to leave for a while now,world treasure tell u leave
A machine doesn't improvise well because you cannot program a fear of death. Our survival instinct is our greatest source of inspiration.,Interstellar,movie,2014,a machine doesnt improvise well because you cannot program a fear of death our survival instinct is our greatest source of inspiration,a machine doesn t improvise well because you cannot program a fear of death our survival instinct is our greatest source of inspiration,machine improvise well program fear death survival instinct great source inspiration
Not my tempo.,Whiplash,movie,2014,not my tempo,not my tempo,tempo
Mankind was born on Earth. It was never meant to die here.,Interstellar,movie,2014,mankind was born on earth it was never meant to die here,mankind was born on earth it was never meant to die here,mankind born earth never mean die
Hardest time to lie to somebody is when they're expecting to be lied to.,The Imitation Game,movie,2014,hardest time to lie to somebody is when theyre expecting to be lied to,hardest time to lie to somebody is when they re expecting to be lied to,hard time lie somebody expect lie
Some infinities are bigger than other infinities.,The Fault in our stars,movie,2014,some infinities are bigger than other infinities,some infinities are bigger than other infinities,infinity big infinity
If an angelic being fell from the sky and tried to live in this world of ours I think even they would commit many wrongs.,Tokyo Ghoul,anime,2014,if an angelic being fell from the sky and tried to live in this world of ours i think even they would commit many wrongs,if an angelic being fell from the sky and tried to live in this world of ours i think even they would commit many wrongs,angelic fell sky try live world think even would commit many wrong
"I'm on a roller-coaster that only goes up, my friend.",The Fault in Our Stars,movie,2014,im on a rollercoaster that only goes up my friend,i m on a roller coaster that only goes up my friend,roller coaster go friend
It's not because we can't take vengeance that we should feel sorry. The real reason to feel sorry... is when one is hung up on revenge and can't live their own life.,Tokyo Ghoul,anime,2014,its not because we cant take vengeance that we should feel sorry the real reason to feel sorry is when one is hung up on revenge and cant live their own life,it s not because we can t take vengeance that we should feel sorry the real reason to feel sorry is when one is hung up on revenge and can t live their own life,take vengeance feel sorry real reason feel sorry one hung revenge live life
Sometimes it's people closest to us who lie to us best,Arrow,tv,2015,sometimes its people closest to us who lie to us best,sometimes it s people closest to us who lie to us best,sometimes people closest u lie u best
"You become responsible, forever, for everything you tamed.",The Little Prince,movie,2015,you become responsible forever for everything you tamed,you become responsible forever for everything you tamed,become responsible forever everything tame
"Mark Watney, Space Pirate.",The Martian,movie,2015,mark watney space pirate,mark watney space pirate,mark watney space pirate
How do you know the angel and the devil inside me aren’t the same thing?,Daredevil,tv,2015,how do you know the angel and the devil inside me aren’t the same thing,how do you know the angel and the devil inside me aren t the same thing,know angel devil inside thing
"I am the scales of justice, conductor of the choir of death!",Mad Max,movie,2015,i am the scales of justice conductor of the choir of death,i am the scales of justice conductor of the choir of death,scale justice conductor choir death
Oh what a day. What a lovely day!,Mad Max,movie,2015,oh what a day what a lovely day,oh what a day what a lovely day,oh day lovely day
Witness me!,Mad Max,movie,2015,witness me,witness me,witness
I'm going to have to science the s*** out of this.,The Martian,movie,2015,im going to have to science the s out of this,i m going to have to science the s out of this,go science
"Just because someone stumbles and loses their path, doesn’t mean they’re lost forever.",X-Men: Days of Future Past,movie,2015,just because someone stumbles and loses their path doesn’t mean they’re lost forever,just because someone stumbles and loses their path doesn t mean they re lost forever,someone stumble lose path mean lose forever
Manners maketh man,KINGSMAN: The Secret Service,movie,2015,manners maketh man,manners maketh man,manner maketh man
Haven't you ever wanted something so ba that it becomes more than a want?,Rebel of the Sands,movie,2015,havent you ever wanted something so ba that it becomes more than a want,haven t you ever wanted something so ba that it becomes more than a want,ever want something ba become want
"When I get back home, I want all the praise to go towards me.",The Martian,movie,2015,when i get back home i want all the praise to go towards me,when i get back home i want all the praise to go towards me,get back home want praise go towards
What a treacherous thing to believe that a person is more than a person?,Paper Towns,movie,2015,what a treacherous thing to believe that a person is more than a person,what a treacherous thing to believe that a person is more than a person,treacherous thing believe person person
"Examined from another angle, your faults and weaknesses can be weapons",Assassination classroom,anime,2015,examined from another angle your faults and weaknesses can be weapons,examined from another angle your faults and weaknesses can be weapons,examine another angle fault weakness weapon
People keeps secret computers don't,Arrow,tv,2015,people keeps secret computers dont,people keeps secret computers don t,people keep secret computer
That's not how the force works!,Star Wars: Episode VII - The Force Awakens,movie,2015,thats not how the force works,that s not how the force works,force work
"But if you tame me, then we shall need each other, to me you shall be unique in all the world, to you i shall be unique.",The Little Prince,movie,2015,but if you tame me then we shall need each other to me you shall be unique in all the world to you i shall be unique,but if you tame me then we shall need each other to me you shall be unique in all the world to you i shall be unique,tame shall need shall unique world shall unique
"Chewie, we're home.",The Force Awakens,movie,2015,chewie were home,chewie we re home,chewie home
My tastes are very singular.,Fifty Shades of Grey ,movie,2015,my tastes are very singular,my tastes are very singular,taste singular
It is only with the heart that one can see rightly; what is essential is invisible to the eye,The Little Prince,movie,2015,it is only with the heart that one can see rightly what is essential is invisible to the eye,it is only with the heart that one can see rightly what is essential is invisible to the eye,heart one see rightly essential invisible eye
"Like the oldman said, together",Avengers - Age of Ultron,movie,2015,like the oldman said together,like the oldman said together,like oldman say together
Power belongs to those who take it.,Mr. Robot,tv,2015,power belongs to those who take it,power belongs to those who take it,power belongs take
"That light saber was luke's, and his father's before him, and now it calls to you!",Star Wars: The Force Awakens,movie,2015,that light saber was lukes and his fathers before him and now it calls to you,that light saber was luke s and his father s before him and now it calls to you,light saber luke father call
I don't have friends. I got family.,Furious 7,movie,2015,i dont have friends i got family,i don t have friends i got family,friend get family
A bit of madness is key,La La Land,movie,2016,a bit of madness is key,a bit of madness is key,bit madness key
Secrecy is security and security is victory.,Snowden,movie,2016,secrecy is security and security is victory,secrecy is security and security is victory,secrecy security security victory
Once in a while when I wake up. I find myself crying.,Kimi No Nawa,movie,2016,once in a while when i wake up i find myself crying,once in a while when i wake up i find myself crying,wake find cry
"When life gets you down, you know what you gotta do? Just keep swimming.",Finding Dory,movie,2016,when life gets you down you know what you gotta do just keep swimming,when life gets you down you know what you gotta do just keep swimming,life get know get ta keep swimming
"Bombs won't stop terrorism, brains will, and we don't have nearly enough of those.",Snowden,movie,2016,bombs wont stop terrorism brains will and we dont have nearly enough of those,bombs won t stop terrorism brains will and we don t have nearly enough of those,bomb stop terrorism brain nearly enough
Marriage is buying a house for someone you hate,The Nice Guys,movie,2016,marriage is buying a house for someone you hate,marriage is buying a house for someone you hate,marriage buying house someone hate
"At some point, you gotta decide for yourself who you gonna be. Can't let nobody make that decision for you.",Moonlight,movie,2016,at some point you gotta decide for yourself who you gonna be cant let nobody make that decision for you,at some point you gotta decide for yourself who you gonna be can t let nobody make that decision for you,point get ta decide gon na let nobody make decision
"For Azeroth, for the Alliance!",Warcraft,movie,2016,for azeroth for the alliance,for azeroth for the alliance,azeroth alliance
"When you love someone, you work it out. You don't just throw it away. You have to be careful with it, you might never get it again.",Nocturnal Animals,movie,2016,when you love someone you work it out you dont just throw it away you have to be careful with it you might never get it again,when you love someone you work it out you don t just throw it away you have to be careful with it you might never get it again,love someone work throw away careful might never get
"You're right, Aurora. But the drowning man will always try and drag somebody down with him. It ain't right, but the man's drowning.",Passengers,movie,2016,youre right aurora but the drowning man will always try and drag somebody down with him it aint right but the mans drowning,you re right aurora but the drowning man will always try and drag somebody down with him it ain t right but the man s drowning,right aurora drown man always try drag somebody right man drown
Tell me... do you bleed? You will!,BATMAN V SUPERMAN: DAWN OF JUSTICE,movie,2016,tell me do you bleed you will,tell me do you bleed you will,tell bleed
"You can’t buy love, but you can rent it for three minutes!",Deadpool,movie,2016,you can’t buy love but you can rent it for three minutes,you can t buy love but you can rent it for three minutes,buy love rent three minute
"Life’s a little bit messy. We all make mistakes. No matter what type of animal you are, change starts with you.",Zootopia,animation,2016,life’s a little bit messy we all make mistakes no matter what type of animal you are change starts with you,life s a little bit messy we all make mistakes no matter what type of animal you are change starts with you,life little bit messy make mistake matter type animal change start
I can do this all day!,Captain America: Civil War,movie,2016,i can do this all day,i can do this all day,day
"My dad used to say, 'If you live an ordinary life, all you'll have are ordinary stories. You have to live a life of adventure.'",Passengers,movie,2016,my dad used to say if you live an ordinary life all youll have are ordinary stories you have to live a life of adventure,my dad used to say if you live an ordinary life all you ll have are ordinary stories you have to live a life of adventure,dad use say live ordinary life ordinary story live life adventure
Start With Where You're From,Lion,movie,2016,start with where youre from,start with where you re from,start
"PWinston... tell them... Tell them all... Whoever comes, whoever it is... I'll kill them. I'll kill them all.",John Wick 2,movie,2017,pwinston tell them tell them all whoever comes whoever it is ill kill them ill kill them all,pwinston tell them tell them all whoever comes whoever it is i ll kill them i ll kill them all,pwinston tell tell whoever come whoever kill kill
Do you know what a Cinnabon is? It's bread! And frosting! And cinnamon! They heat it up! Really hot!,Bee Movie,movie,2017,do you know what a cinnabon is its bread and frosting and cinnamon they heat it up really hot,do you know what a cinnabon is it s bread and frosting and cinnamon they heat it up really hot,know cinnabon bread frost cinnamon heat really hot
"Life is a big trap, made up of little traps... If you listen hard... sometimes you could hear them snap shut.",Sense8,tv,2017,life is a big trap made up of little traps if you listen hard sometimes you could hear them snap shut,life is a big trap made up of little traps if you listen hard sometimes you could hear them snap shut,life big trap make little trap listen hard sometimes could hear snap shut
"Don't do anything I would do, and definitely don't do anything I wouldn't do...",Spider-Man: Homecoming,movie,2017,dont do anything i would do and definitely dont do anything i wouldnt do,don t do anything i would do and definitely don t do anything i wouldn t do,anything would definitely anything
"There’s no hiding from this, son.",Dunkirk,movie,2017,there’s no hiding from this son,there s no hiding from this son,hide son
"When all seems lost, a few brave souls can save everything we've ever known.",Transformers : The Light Night,movie,2017,when all seems lost a few brave souls can save everything weve ever known,when all seems lost a few brave souls can save everything we ve ever known,seem lose brave soul save everything ever know
I promise you ... No matter where we will be in this world ... I promise we will meet again.,Your Name,movie,2017,i promise you no matter where we will be in this world i promise we will meet again,i promise you no matter where we will be in this world i promise we will meet again,promise matter world promise meet
"Unfortunately, we’re all human. Except me, of course.",Mr.Robot,tv,2017,unfortunately we’re all human except me of course,unfortunately we re all human except me of course,unfortunately human except course
"Break hearts, not promises.",Turtles All the Way Down,movie,2017,break hearts not promises,break hearts not promises,break heart promise
"Every time we get a chance to get ahead they move the finish line, every time.",Hidden Figures,movie,2017,every time we get a chance to get ahead they move the finish line every time,every time we get a chance to get ahead they move the finish line every time,every time get chance get ahead move finish line every time
"When we lose our principles, we invite chaos.",Mr. Robot,tv,2017,when we lose our principles we invite chaos,when we lose our principles we invite chaos,lose principle invite chaos
"People walk around, act like they know what hate means. Nah, no one does, until you hate yourself. I mean truly hate yourself. That’s power.",Mr. Robot,tv,2017,people walk around act like they know what hate means nah no one does until you hate yourself i mean truly hate yourself that’s power,people walk around act like they know what hate means nah no one does until you hate yourself i mean truly hate yourself that s power,people walk around act like know hate mean nah one hate mean truly hate power
We Shall Never Surrender.,Dunkirk,movie,2017,we shall never surrender,we shall never surrender,shall never surrender
I have burrowed underneath your brain. I am nested there. I am the scream in your mind. You will cooperate.,Mr. Robot,tv,2017,i have burrowed underneath your brain i am nested there i am the scream in your mind you will cooperate,i have burrowed underneath your brain i am nested there i am the scream in your mind you will cooperate,burrow underneath brain nested scream mind cooperate
Treasure the experience. Dreams fade away after you wake up,Your Name,movie,2017,treasure the experience dreams fade away after you wake up,treasure the experience dreams fade away after you wake up,treasure experience dream fade away wake
Leave One Wolf Alive and the Sheep are Never Safe,Game of Thrones Season 7,movie,2017,leave one wolf alive and the sheep are never safe,leave one wolf alive and the sheep are never safe,leave one wolf alive sheep never safe
Love's the most powerful emotion and that makes it the most dangerous,Arrow,tv,2017,loves the most powerful emotion and that makes it the most dangerous,love s the most powerful emotion and that makes it the most dangerous,love powerful emotion make dangerous
You’re so dark! Are you sure you’re not from the DC universe? I love dubstep!,Deadpool 2,movie,2018,you’re so dark are you sure you’re not from the dc universe i love dubstep,you re so dark are you sure you re not from the dc universe i love dubstep,dark sure dc universe love dubstep
"If you want to change things in a big way, then you gotta make some big changes.",Creed 2,movie,2018,if you want to change things in a big way then you gotta make some big changes,if you want to change things in a big way then you gotta make some big changes,want change thing big way get ta make big change
Just because something works doesn’t mean it can’t be improved.,Black Panther,movie,2018,just because something works doesn’t mean it can’t be improved,just because something works doesn t mean it can t be improved,something work mean improve
"There is no such thing as magic, just illusion. Things only change when we change them. But you have to do it skillfully, in secret. Then it seems like magic.",Dark,tv,2018,there is no such thing as magic just illusion things only change when we change them but you have to do it skillfully in secret then it seems like magic,there is no such thing as magic just illusion things only change when we change them but you have to do it skillfully in secret then it seems like magic,thing magic illusion thing change change skillfully secret seem like magic
The darkest nights produce the brightest stars.,Bumblebee,movie,2018,the darkest nights produce the brightest stars,the darkest nights produce the brightest stars,dark night produce bright star
"That’s one small step for man, one giant leap for mankind.",First Man,movie,2018,that’s one small step for man one giant leap for mankind,that s one small step for man one giant leap for mankind,one small step man one giant leap mankind
Is this your king?,Black Panther,movie,2018,is this your king,is this your king,king
"That person who helps others simply because it should or must be done, and because it is the right thing to do, is indeed without a doubt, a real superhero.",Spider-Man: Into the Spider-Verse,movie,2018,that person who helps others simply because it should or must be done and because it is the right thing to do is indeed without a doubt a real superhero,that person who helps others simply because it should or must be done and because it is the right thing to do is indeed without a doubt a real superhero,person help others simply must do right thing indeed without doubt real superhero
"If we didn’t do what we loved, we wouldn’t exist.","Adonis, Creed II",movie,2018,if we didn’t do what we loved we wouldn’t exist,if we didn t do what we loved we wouldn t exist,love exist
Sometimes we think we have to do it all on our own. But we don’t.,Creed 2,movie,2018,sometimes we think we have to do it all on our own but we don’t,sometimes we think we have to do it all on our own but we don t,sometimes think
I just wanted to take another look at you.,A Star Is Born,movie,2018,i just wanted to take another look at you,i just wanted to take another look at you,want take another look
The hardest choices require the strongest wills,Avengers: Infinity War,movie,2018,the hardest choices require the strongest wills,the hardest choices require the strongest wills,hard choice require strong will
"What’s done is done, when we say it’s done.",Mission Impossible: fallout,movie,2018,what’s done is done when we say it’s done,what s done is done when we say it s done,do do say do
Change is like death. You don’t know what it looks like until you’re standing at the gates.,Jurassic World: Fallen Kingdom,movie,2018,change is like death you don’t know what it looks like until you’re standing at the gates,change is like death you don t know what it looks like until you re standing at the gates,change like death know look like stand gate
"Being a hero doesn't mean you are invincible. It just means you're brave enough to stand up, and do what's needed.",Two Heroes,movie,2018,being a hero doesnt mean you are invincible it just means youre brave enough to stand up and do whats needed,being a hero doesn t mean you are invincible it just means you re brave enough to stand up and do what s needed,hero mean invincible mean brave enough stand need
"Sometimes, when you're feeling helpless, the secret is to help someone else. Get out of your own head. Trust me. The next time someone asks for help, say yes.",The Good Place,tv,2018,sometimes when youre feeling helpless the secret is to help someone else get out of your own head trust me the next time someone asks for help say yes,sometimes when you re feeling helpless the secret is to help someone else get out of your own head trust me the next time someone asks for help say yes,sometimes feel helpless secret help someone else get head trust next time someone ask help say yes
"Yeah. Well, you’re right. I thought it was more important to be somebody out there than the damn failure I was here at my own home. Anyway, for what it’s worth, I’m here now.",The Mule,movie,2018,yeah well you’re right i thought it was more important to be somebody out there than the damn failure i was here at my own home anyway for what it’s worth i’m here now,yeah well you re right i thought it was more important to be somebody out there than the damn failure i was here at my own home anyway for what it s worth i m here now,yeah well right think important somebody damn failure home anyway worth
Whatever it takes!,Avengers : Infinity War,movie,2018,whatever it takes,whatever it takes,whatever take
That does put a smile on my face.,Avengers: Infinity War,movie,2018,that does put a smile on my face,that does put a smile on my face,put smile face
"For I am a Sinner in the hands of an angry God, Bloody Mary, Full of Vodka, Blessed are you among cocktails, pray for me now, at the hour of my death, which I hope is soon. Amen",Archer,tv,2018,for i am a sinner in the hands of an angry god bloody mary full of vodka blessed are you among cocktails pray for me now at the hour of my death which i hope is soon amen,for i am a sinner in the hands of an angry god bloody mary full of vodka blessed are you among cocktails pray for me now at the hour of my death which i hope is soon amen,sinner hand angry god bloody mary full vodka bless among cocktail pray hour death hope soon amen
"Being genius is not enough, it takes courage to change people's hearts.",Green Book,movie,2018,being genius is not enough it takes courage to change peoples hearts,being genius is not enough it takes courage to change people s hearts,genius enough take courage change people heart
"Elsa, the past is not what it seems. You must find the truth.",Frozen II,movie,2019,elsa the past is not what it seems you must find the truth,elsa the past is not what it seems you must find the truth,elsa past seem must find truth
"I remember the story of an evil witch, at the princess she cursed to sleep forever. The story became legend. But this is no fairy tale.",Maleficent:The Mistress of Evil,movie,2019,i remember the story of an evil witch at the princess she cursed to sleep forever the story became legend but this is no fairy tale,i remember the story of an evil witch at the princess she cursed to sleep forever the story became legend but this is no fairy tale,remember story evil witch princess curse sleep forever story become legend fairy tale
I can do this all day,Avengers: Endgame,movie,2019,i can do this all day,i can do this all day,day
I love you 3000.,Avengers: Endgame,movie,2019,i love you,i love you,love
I laugh in the face of danger,The Lion King,movie,2019,i laugh in the face of danger,i laugh in the face of danger,laugh face danger
Being brave doesn’t mean you go looking for trouble.,The Lion King,movie,2019,being brave doesn’t mean you go looking for trouble,being brave doesn t mean you go looking for trouble,brave mean go look trouble
"Lord knows, I’ve held onto way too much hate in my life. But all we have is now. All we have is now.",Waves,movie,2019,lord knows i’ve held onto way too much hate in my life but all we have is now all we have is now,lord knows i ve held onto way too much hate in my life but all we have is now all we have is now,lord know hold onto way much hate life
All I have are negative thoughts.,Joker,movie,2019,all i have are negative thoughts,all i have are negative thoughts,negative thought
Nothing is funnier than unhappiness.,Avengers: Endgame,movie,2019,nothing is funnier than unhappiness,nothing is funnier than unhappiness,nothing funny unhappiness
"Is it just me, or is it getting crazier out there?",Joker,movie,2019,is it just me or is it getting crazier out there,is it just me or is it getting crazier out there,get crazier
"A new chapter of my life has begun. Already, I can feel the weight of this crown I wear.",The King,movie,2019,a new chapter of my life has begun already i can feel the weight of this crown i wear,a new chapter of my life has begun already i can feel the weight of this crown i wear,new chapter life begin already feel weight crown wear
You all love twisting the knife into one another.,Knives Out,movie,2019,you all love twisting the knife into one another,you all love twisting the knife into one another,love twist knife one another
"Things are very uncomfortable between us, but we’re stuck in a house together.",The Lodge,movie,2019,things are very uncomfortable between us but we’re stuck in a house together,things are very uncomfortable between us but we re stuck in a house together,thing uncomfortable u stick house together
Pearl Harbor is the greatest intelligence failure in American history.,Midway,movie,2019,pearl harbor is the greatest intelligence failure in american history,pearl harbor is the greatest intelligence failure in american history,pearl harbor great intelligence failure american history
There’s nothing you can’t do if you try.,Dr Stone,anime,2019,there’s nothing you can’t do if you try,there s nothing you can t do if you try,nothing try
I just want to escape. Dad always wanted me to travel the world. Someday.,Abominable,movie,2019,i just want to escape dad always wanted me to travel the world someday,i just want to escape dad always wanted me to travel the world someday,want escape dad always want travel world someday
"They have all the money, all the firepower, and they’ll use it. I know, I was one of them.",Dark Waters,movie,2019,they have all the money all the firepower and they’ll use it i know i was one of them,they have all the money all the firepower and they ll use it i know i was one of them,money firepower use know one
I think the best thing we can do is to let people know that each one of them is precious.,A Beautiful Day in the Neighbourhood,movie,2019,i think the best thing we can do is to let people know that each one of them is precious,i think the best thing we can do is to let people know that each one of them is precious,think best thing let people know one precious
"Well, I’ve got no leashes, or fences. With me, every day could be an adventure.",The Lady and the Tramp,movie,2019,well i’ve got no leashes or fences with me every day could be an adventure,well i ve got no leashes or fences with me every day could be an adventure,well get leash fence every day could adventure
"You're really lucky, you know that? You didn't have to wait your whole life to do something special.",El Camino,movie,2019,youre really lucky you know that you didnt have to wait your whole life to do something special,you re really lucky you know that you didn t have to wait your whole life to do something special,really lucky know wait whole life something special
"Even if we do ignore the previous data, Broly's latent abilities are quite remarkable.",Dragon Ball Super: Broly,movie,2019,even if we do ignore the previous data brolys latent abilities are quite remarkable,even if we do ignore the previous data broly s latent abilities are quite remarkable,even ignore previous data broly latent abilities quite remarkable
My mother always tells me to smile and put on a happy face. She told me I had a purpose to bring laughter and joy to the world.,Joker,movie,2019,my mother always tells me to smile and put on a happy face she told me i had a purpose to bring laughter and joy to the world,my mother always tells me to smile and put on a happy face she told me i had a purpose to bring laughter and joy to the world,mother always tell smile put happy face tell purpose bring laughter joy world
How truly magnificent! I think this battle is about to come to a rousing finale!,Dragon Ball Super: Broly,movie,2019,how truly magnificent i think this battle is about to come to a rousing finale,how truly magnificent i think this battle is about to come to a rousing finale,truly magnificent think battle come rouse finale
Today the impossible becomes the possible. ,The Current War,movie,2019,today the impossible becomes the possible,today the impossible becomes the possible,today impossible becomes possible
There is no punchline.,Joker,movie,2019,there is no punchline,there is no punchline,punchline
"Is it just me, or is it getting crazier out there?’",Joker,movie,2019,is it just me or is it getting crazier out there’,is it just me or is it getting crazier out there,get crazier
That's MotherF****** street poetic justice.,Shaft,movie,2019,thats motherf street poetic justice,that s motherf street poetic justice,motherf street poetic justice
"Maybe it's because I'm constantly fighting, destro…d to be a lower-class warrior... like my Kakarot.",Dragon Ball Super: Broly,movie,2019,maybe its because im constantly fighting destro…d to be a lowerclass warrior like my kakarot,maybe it s because i m constantly fighting destro d to be a lower class warrior like my kakarot,maybe constantly fight destro low class warrior like kakarot
"These barbarians pretend to be submissive, but the…a sleeping beast down, before it can be awakened.",Dragon Ball Super: Broly,movie,2019,these barbarians pretend to be submissive but the…a sleeping beast down before it can be awakened,these barbarians pretend to be submissive but the a sleeping beast down before it can be awakened,barbarian pretend submissive sleeping beast awaken
"Time means nothing. Jeremy Bearimy, baby. We’ll just get through this. And then you and I can chill out in the dot of the I forever.",The Good Place,tv,2019,time means nothing jeremy bearimy baby we’ll just get through this and then you and i can chill out in the dot of the i forever,time means nothing jeremy bearimy baby we ll just get through this and then you and i can chill out in the dot of the i forever,time mean nothing jeremy bearimy baby get chill dot forever
The worst part of having a mental illness is people expect you to behave as if you don't,Joker,movie,2019,the worst part of having a mental illness is people expect you to behave as if you dont,the worst part of having a mental illness is people expect you to behave as if you don t,bad part mental illness people expect behave
"You give me your loyalty, and I’ll guarantee that each and every one of you will have a chance to be a warrior, to actually be a part of history.",The Kill Team,movie,2019,you give me your loyalty and i’ll guarantee that each and every one of you will have a chance to be a warrior to actually be a part of history,you give me your loyalty and i ll guarantee that each and every one of you will have a chance to be a warrior to actually be a part of history,give loyalty guarantee every one chance warrior actually part history
What do you want most in the world?,Anna,movie,2019,what do you want most in the world,what do you want most in the world,want world
I do what I do because of my dad. He was a hero. He gave his life for the pursuit of knowledge.,Ad Astra,movie,2019,i do what i do because of my dad he was a hero he gave his life for the pursuit of knowledge,i do what i do because of my dad he was a hero he gave his life for the pursuit of knowledge,dad hero give life pursuit knowledge
"You've got a lot to learn. Here on Earth, we like …have to listen to what the others tell you to do.",Dragon Ball Super: Broly,movie,2019,youve got a lot to learn here on earth we like …have to listen to what the others tell you to do,you ve got a lot to learn here on earth we like have to listen to what the others tell you to do,get lot learn earth like listen others tell
I have nothing to prove to you,Captain Marvel,movie,2019,i have nothing to prove to you,i have nothing to prove to you,nothing prove
"Dude, you are on fire.",El Camino,movie,2019,dude you are on fire,dude you are on fire,dude fire
This is me. This is how I win.,Uncut Gems,movie,2019,this is me this is how i win,this is me this is how i win,win
Why have average when you can have extraordinary?,The Boys,tv,2019,why have average when you can have extraordinary,why have average when you can have extraordinary,average extraordinary
You are my lighting rod.,Avengers: Endgame,movie,2019,you are my lighting rod,you are my lighting rod,light rod
"Bruce Lee: My hands are registered as lethal weapons. We get into a fight, I accidentally kill you... I go to jail.",Once Upon a Time in Hollywood,movie,2019,bruce lee my hands are registered as lethal weapons we get into a fight i accidentally kill you i go to jail,bruce lee my hands are registered as lethal weapons we get into a fight i accidentally kill you i go to jail,bruce lee hand register lethal weapon get fight accidentally kill go jail
"I'm as real as a donut, motherfucker.",Once Upon a Time in Hollywood,movie,2019,im as real as a donut motherfucker,i m as real as a donut motherfucker,real donut motherfucker
